epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2027,0.98275,1.38353,0.91532,0.81176,0.47312,0.49674,0.37484,0.73575,0.70214,0.87395,0.000414583,0.000414583,0.000414583
2,66.1709,0.79552,0.65942,0.86059,0.81382,0.49967,0.5268,0.40183,0.68539,0.59935,0.8665,0.000814791,0.000814791,0.000814791
3,97.1287,0.76716,0.60828,0.85286,0.78408,0.4982,0.52702,0.40229,0.70277,0.58193,0.86751,0.0011985,0.0011985,0.0011985
4,127.966,0.76638,0.58131,0.84996,0.60193,0.50867,0.54262,0.42759,0.63855,0.52876,0.85861,0.00117575,0.00117575,0.00117575
5,159.09,0.7433,0.55536,0.84593,0.58163,0.51525,0.54486,0.42808,0.62498,0.52199,0.85532,0.001151,0.001151,0.001151
6,189.824,0.72791,0.54399,0.84537,0.5919,0.52091,0.55055,0.43148,0.63464,0.50878,0.85428,0.00112625,0.00112625,0.00112625
7,220.59,0.71533,0.53195,0.84346,0.59277,0.50511,0.53675,0.42366,0.63348,0.51211,0.85802,0.0011015,0.0011015,0.0011015
8,251.192,0.71139,0.52111,0.8421,0.58946,0.51546,0.54806,0.43826,0.61363,0.48857,0.85521,0.00107675,0.00107675,0.00107675
9,282.326,0.70348,0.51202,0.841,0.59087,0.52416,0.55657,0.44071,0.61836,0.48791,0.85666,0.001052,0.001052,0.001052
10,313.319,0.69602,0.49725,0.83892,0.59565,0.52403,0.55865,0.44848,0.58947,0.46636,0.85053,0.00102725,0.00102725,0.00102725
11,344.003,0.6853,0.49092,0.83825,0.82585,0.53096,0.56526,0.44938,0.60195,0.47229,0.85195,0.0010025,0.0010025,0.0010025
12,374.83,0.67975,0.48554,0.83629,0.81291,0.52604,0.55037,0.43937,0.61024,0.47834,0.85318,0.00097775,0.00097775,0.00097775
13,405.538,0.68048,0.47869,0.83663,0.83492,0.53777,0.57211,0.45844,0.60567,0.46008,0.85185,0.000953,0.000953,0.000953
14,436.374,0.67811,0.47756,0.83651,0.8457,0.53066,0.5626,0.45452,0.58458,0.46251,0.84926,0.00092825,0.00092825,0.00092825
