frame_id,west_in,east_in,north_in,south_in,pedestrian_count,total_flow
1,22,13,24,1,50,60
2,3,0,0,5,12,8
5,1,0,0,10,7,11
6,4,6,12,11,30,33
7,8,14,12,11,35,45
8,8,22,15,1,32,46
9,27,23,12,0,28,62
10,34,28,14,9,51,85
11,32,21,14,9,9,76
12,4,13,15,9,18,41
13,4,19,0,6,8,29
14,9,14,1,9,21,33
15,29,17,15,11,36,72
16,6,20,0,9,5,35
17,6,24,18,0,25,48
18,2,25,16,0,27,43
19,6,20,2,11,23,39
20,2,20,13,1,18,36
21,5,22,14,9,20,50
22,19,31,26,9,26,85
23,30,31,11,11,34,83
24,23,30,0,1,25,54
25,22,22,16,10,37,70
26,43,24,12,9,24,88
27,9,30,12,0,21,51
28,24,31,0,9,15,64
29,39,22,8,6,35,75
30,34,16,9,9,26,68
31,33,31,11,0,32,75
32,23,21,0,0,2,44
33,36,26,12,0,29,74
34,23,34,0,0,24,57
35,3,28,11,6,11,48
36,6,27,19,10,41,62
37,6,30,11,0,23,47
38,21,27,12,7,22,67
39,28,26,9,10,32,73
40,14,18,10,0,29,42
41,10,29,9,8,23,56
42,10,24,11,8,19,53
43,25,16,0,0,5,41
44,29,33,10,7,31,79
45,17,24,0,0,19,41
46,39,24,0,7,5,70
47,12,22,10,1,37,45
48,31,18,10,9,18,68
49,29,10,10,9,30,58
50,7,14,21,0,43,42
51,14,22,10,6,35,52
52,10,22,13,6,20,51
53,32,24,11,0,27,67
54,29,12,24,9,40,74
55,35,21,25,9,34,90
56,23,28,13,6,20,70
57,20,22,23,6,39,71
58,4,34,0,9,23,47
59,20,25,9,0,20,54
60,19,28,0,11,22,58
61,40,30,14,0,34,84
62,29,18,0,9,13,56
63,10,27,0,9,12,46
64,21,24,0,0,14,45
65,8,20,14,6,26,48
66,23,28,0,11,9,62
67,22,23,11,6,27,62
68,21,25,24,10,48,80
69,26,19,12,10,15,67
70,29,27,12,6,20,74
71,19,24,28,0,27,71
72,28,26,15,11,26,80
73,17,30,14,0,10,61
74,44,26,26,6,34,102
75,38,7,13,0,12,58
76,41,6,23,0,23,70
77,40,21,11,8,20,80
78,35,29,1,12,14,77
79,41,12,24,1,33,78
80,23,0,10,11,10,44
81,13,34,0,1,13,48
82,9,33,0,12,13,54
83,26,25,13,11,11,75
84,37,44,11,0,28,92
85,23,32,10,0,29,65
86,24,36,0,7,14,67
87,6,36,23,0,32,65
88,28,28,11,11,21,78
89,24,21,1,0,10,46
90,31,18,0,0,5,49
91,26,18,23,6,25,73
92,7,16,0,11,1,34
93,28,28,11,11,12,78
94,25,31,10,11,18,77
95,26,21,10,6,20,63
96,14,29,0,7,20,50
97,6,22,19,6,46,53
98,38,18,8,9,36,73
99,23,22,0,10,8,55
100,7,8,0,8,6,23
101,36,17,0,5,9,58
102,25,27,22,4,25,78
103,24,26,0,8,23,58
104,15,27,13,1,29,56
105,25,28,19,10,36,82
106,38,21,0,5,8,64
107,23,34,9,11,18,77
108,4,32,8,0,23,44
109,22,22,10,11,18,65
110,33,25,10,10,26,78
111,34,23,20,13,18,90
112,18,0,13,2,13,33
113,26,23,13,3,19,65
114,17,27,0,0,4,44
115,29,34,11,10,39,84
116,18,24,1,2,15,45
117,20,25,1,2,16,48
118,21,38,0,2,23,61
119,28,30,0,0,16,58
120,41,35,27,0,25,103
121,19,15,0,1,8,35
122,14,17,11,12,19,54
123,51,28,15,13,21,107
124,0,33,1,4,10,38
125,29,10,26,5,24,70
126,35,27,25,4,27,91
127,5,40,0,11,25,56
128,27,18,0,10,3,55
129,25,23,14,3,9,65
130,10,18,15,2,15,45
131,44,16,30,1,28,91
132,8,31,33,4,28,76
133,20,40,0,0,11,60
134,8,15,16,12,29,51
135,18,32,13,13,26,76
136,26,27,15,14,27,82
137,13,35,0,11,28,59
138,27,32,0,9,30,68
139,7,32,20,11,47,70
140,41,33,0,9,26,83
141,46,27,18,14,41,105
142,39,17,20,15,39,91
143,23,25,11,15,24,74
144,40,16,11,18,32,85
145,34,39,11,0,33,84
146,32,8,11,18,19,69
147,26,29,0,8,14,63
148,36,24,10,0,38,70
149,15,28,13,13,30,69
150,31,29,11,15,60,86
151,32,28,12,7,22,79
152,33,24,12,3,15,72
153,28,20,1,12,26,61
154,41,41,13,3,25,98
155,34,21,12,11,24,78
156,42,28,24,0,29,94
157,32,41,26,8,40,107
158,0,34,0,1,16,35
159,41,42,14,0,18,97
160,19,33,26,11,39,89
161,25,45,0,0,18,70
162,30,20,13,1,20,64
163,44,18,12,0,35,74
