series,model,order,mae,rmse,mape_percent
west_in,SARIMAX,"(1, 0, 1)",29.446712606305717,35.109555525055306,46.96607301295479
west_in,Naive persistence,,22.303030303030305,26.69241181468712,46.50822735163383
east_in,SARIMAX,"(1, 0, 1)",28.987920332703226,35.15346100288086,70.06381658827867
east_in,Naive persistence,,13.787878787878787,18.316245480033523,23.96629478892691
north_in,SARIMAX,"(1, 0, 1)",13.71582800456216,17.580822879714848,61.6741832633934
north_in,Naive persistence,,14.121212121212121,17.480725316066195,64.82020178537053
south_in,SARIMAX,"(1, 0, 1)",5.444486571934743,6.038330760358189,95.1796083628649
south_in,Naive persistence,,2.0303030303030303,3.0,86.31570810142239
total_flow,SARIMAX,"(1, 0, 1)",38.78925068352043,46.288126776345585,36.28942535455229
total_flow,Naive persistence,,30.060606060606062,36.13359051680809,27.110375110180723
