epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8386,1.89607,2.07735,0.92925,0.98098,0.26685,0.31488,0.1655,1.68903,1.43337,0.84908,0.000467827,0.000467827,0.000467827
2,20.7812,1.42236,0.81573,0.84131,0.7849,0.47085,0.55694,0.33834,1.29579,0.90827,0.81949,0.000920793,0.000920793,0.000920793
3,30.5423,1.36001,0.73747,0.83123,0.58684,0.6889,0.58746,0.35579,1.24371,0.7989,0.81413,0.00135018,0.00135018,0.00135018
4,40.4838,1.28078,0.68624,0.82654,0.5914,0.72647,0.62037,0.3939,1.14986,0.63811,0.80374,0.0013229,0.0013229,0.0013229
5,50.2867,1.24621,0.6611,0.82151,0.60294,0.70904,0.62707,0.39669,1.17203,0.60939,0.80496,0.00128753,0.00128753,0.00128753
6,59.9747,1.22258,0.6371,0.81686,0.58824,0.7636,0.64726,0.41131,1.13778,0.58875,0.80402,0.00125216,0.00125216,0.00125216
7,69.9199,1.18784,0.6133,0.81563,0.64627,0.73559,0.68376,0.44059,1.10003,0.55707,0.80121,0.00121679,0.00121679,0.00121679
8,79.7986,1.13613,0.59508,0.81322,0.65796,0.75983,0.68791,0.41693,1.14474,0.57622,0.80304,0.00118143,0.00118143,0.00118143
9,89.7866,1.18001,0.60648,0.81408,0.64704,0.75075,0.71877,0.46668,1.07926,0.55291,0.7983,0.00114606,0.00114606,0.00114606
10,105.526,1.13533,0.58492,0.81365,0.69607,0.7497,0.74102,0.48059,1.08469,0.53447,0.79943,0.00111069,0.00111069,0.00111069
11,115.432,1.11562,0.57318,0.81135,0.67813,0.7531,0.69285,0.44393,1.05442,0.5403,0.79656,0.00107532,0.00107532,0.00107532
12,125.366,1.20792,0.6035,0.81635,0.68714,0.78203,0.73077,0.47748,1.07488,0.53936,0.79895,0.00103995,0.00103995,0.00103995
13,135.059,1.13005,0.57288,0.81191,0.69562,0.81173,0.75146,0.48116,1.02139,0.52005,0.79514,0.00100459,0.00100459,0.00100459
14,144.802,1.08626,0.55313,0.80828,0.76404,0.76595,0.78811,0.52284,1.06915,0.53188,0.79376,0.000969219,0.000969219,0.000969219
15,154.632,1.08207,0.54635,0.8071,0.70326,0.77813,0.76209,0.49425,1.04837,0.52205,0.79492,0.000933851,0.000933851,0.000933851
16,164.513,1.06603,0.5431,0.80648,0.71481,0.80357,0.76531,0.50933,1.04195,0.5129,0.79364,0.000898484,0.000898484,0.000898484
