epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3472,1.00762,0.51621,0.80509,0.77833,0.81676,0.8003,0.5175,1.11714,0.54043,0.79079,0.000474118,0.000474118,0.000474118
2,70.038,1.02546,0.52397,0.80654,0.79956,0.83415,0.83428,0.54816,0.98431,0.4947,0.78681,0.000912813,0.000912813,0.000912813
3,104.507,1.07625,0.5393,0.80676,0.78066,0.86078,0.83284,0.57807,1.03304,0.48952,0.78977,0.00131378,0.00131378,0.00131378
4,139.05,1.04361,0.52444,0.80623,0.77928,0.82393,0.83748,0.58383,0.93894,0.47063,0.78716,0.00125923,0.00125923,0.00125923
5,173.407,1.04411,0.52633,0.80702,0.78843,0.84487,0.84829,0.58872,0.96707,0.48206,0.7857,0.00120265,0.00120265,0.00120265
6,207.467,1.01231,0.51329,0.80548,0.74714,0.86572,0.83345,0.56712,1.04973,0.48768,0.79134,0.00114606,0.00114606,0.00114606
7,241.149,1.01957,0.51072,0.80398,0.76401,0.84143,0.84146,0.58874,0.98035,0.47283,0.7862,0.00108947,0.00108947,0.00108947
8,275.197,0.99895,0.50444,0.80321,0.80963,0.81157,0.84846,0.59457,0.96162,0.48174,0.78711,0.00103288,0.00103288,0.00103288
9,309.227,0.99294,0.49891,0.80282,0.76388,0.85433,0.81381,0.5634,0.95515,0.47056,0.78524,0.000976293,0.000976293,0.000976293
10,343.433,0.99122,0.49497,0.80283,0.7671,0.87153,0.84194,0.5957,0.97175,0.47037,0.78624,0.000919704,0.000919704,0.000919704
11,377.259,0.98543,0.49348,0.80256,0.72522,0.77756,0.81335,0.56866,0.96371,0.46862,0.7869,0.000863116,0.000863116,0.000863116
12,411.011,0.98047,0.49007,0.80111,0.76353,0.85668,0.84607,0.61311,0.90708,0.44817,0.78507,0.000806528,0.000806528,0.000806528
13,444.939,0.97023,0.48463,0.80071,0.7908,0.8293,0.84282,0.6031,0.92324,0.45963,0.78432,0.000749939,0.000749939,0.000749939
14,478.969,0.95769,0.47434,0.79831,0.78947,0.83877,0.83825,0.5998,0.90827,0.44372,0.78513,0.000693351,0.000693351,0.000693351
15,512.844,0.93703,0.46711,0.7981,0.79578,0.83285,0.82487,0.58964,0.90229,0.44251,0.78347,0.000636762,0.000636762,0.000636762
16,546.822,0.94616,0.46874,0.79922,0.80932,0.81963,0.83997,0.59171,0.90479,0.44398,0.7824,0.000580174,0.000580174,0.000580174
17,580.462,0.92691,0.45929,0.79663,0.78728,0.85783,0.85546,0.60244,0.90455,0.43751,0.7831,0.000523586,0.000523586,0.000523586
18,615.064,0.9294,0.46001,0.79697,0.8065,0.82192,0.83707,0.60497,0.90095,0.4401,0.78211,0.000466997,0.000466997,0.000466997
