source_id,time_bin,west_in,east_in,north_in,south_in,total_flow
zhandong_road1,0,1,3,2,6,12
zhandong_road1,1,2,0,3,3,8
zhandong_road1,2,0,0,4,3,7
zhandong_road1,3,0,1,2,3,6
zhandong_road1,4,2,9,1,0,12
zhandong_road1,5,3,8,1,0,12
zhandong_road1,6,4,7,0,0,11
zhandong_road1,7,2,4,3,0,9
zhandong_road1,8,7,6,1,1,15
zhandong_road1,9,6,3,2,0,11
zhandong_road1,10,2,1,3,0,6
zhandong_road1,11,2,3,2,0,7
zhandong_road1,12,0,0,0,1,1
zhandong_road1,13,0,2,3,3,8
zhandong_road1,14,0,1,4,2,7
zhandong_road1,15,0,2,5,3,10
zhandong_road1,16,0,2,2,1,5
zhandong_road1,17,0,2,3,2,7
zhandong_road1,18,0,2,1,4,7
zhandong_road1,19,1,2,2,3,8
zhandong_road1,20,0,2,3,1,6
zhandong_road1,21,3,1,2,0,6
zhandong_road1,22,6,5,0,0,11
zhandong_road1,23,1,4,1,0,6
zhandong_road1,24,2,5,1,0,8
zhandong_road1,25,1,5,3,0,9
zhandong_road1,26,4,4,2,1,11
zhandong_road1,27,3,2,0,0,5
zhandong_road1,28,4,0,1,0,5
zhandong_road1,29,0,1,2,0,3
zhandong_road1,30,2,1,4,1,8
zhandong_road1,31,1,2,7,0,10
zhandong_road1,32,0,1,8,4,13
zhandong_road1,33,0,0,1,6,7
zhandong_road1,34,0,2,3,3,8
zhandong_road1,35,0,0,3,5,8
zhandong_road1,36,0,3,1,3,7
zhandong_road1,37,0,1,2,3,6
zhandong_road1,38,1,1,3,1,6
zhandong_road1,39,0,1,1,2,4
zhandong_road1,40,4,6,0,0,10
zhandong_road1,41,3,5,1,0,9
zhandong_road1,42,4,3,0,0,7
zhandong_road1,43,5,2,1,0,8
zhandong_road1,44,3,4,0,0,7
zhandong_road1,45,3,5,1,0,9
zhandong_road1,46,5,0,1,1,7
zhandong_road1,47,2,0,4,1,7
zhandong_road1,48,0,1,2,0,3
zhandong_road1,49,0,2,4,4,10
zhandong_road1,50,0,2,1,1,4
zhandong_road1,51,1,0,5,3,9
zhandong_road1,52,0,0,1,4,5
zhandong_road1,53,0,0,0,4,4
zhandong_road1,54,0,1,0,3,4
zhandong_road1,55,0,2,5,0,7
zhandong_road1,56,1,1,2,1,5
zhandong_road1,57,0,2,1,2,5
zhandong_road1,58,7,6,1,2,16
zhandong_road1,59,7,6,3,0,16
zhandong_road1,60,3,5,0,0,8
zhandong_road1,61,5,1,0,0,6
zhandong_road1,62,0,3,1,0,4
zhandong_road1,63,2,4,2,0,8
zhandong_road1,64,5,3,2,0,10
zhandong_road1,65,0,3,3,0,6
zhandong_road1,66,0,1,2,2,5
zhandong_road1,67,0,2,2,0,4
zhandong_road1,68,0,1,3,2,6
zhandong_road1,69,0,0,3,5,8
zhandong_road1,70,0,0,3,2,5
zhandong_road1,71,0,0,2,2,4
zhandong_road1,72,1,1,1,3,6
zhandong_road1,73,0,0,4,1,5
zhandong_road1,74,1,1,0,3,5
zhandong_road1,75,0,1,4,2,7
zhandong_road1,76,4,6,2,1,13
zhandong_road1,77,4,5,3,0,12
zhandong_road1,78,3,6,2,0,11
zhandong_road1,79,2,3,3,0,8
zhandong_road1,80,3,4,2,0,9
zhandong_road1,81,2,2,3,1,8
zhandong_road1,82,4,2,3,0,9
zhandong_road1,83,0,0,0,0,0
