source_id,frame,west_in,east_in,north_in,south_in,total_flow
zhandong_road2,6,0,0,0,0,0
zhandong_road2,36,0,0,1,0,1
zhandong_road2,66,0,0,0,0,0
zhandong_road2,96,1,0,0,0,1
zhandong_road2,126,0,2,2,0,4
zhandong_road2,156,2,0,1,0,3
zhandong_road2,186,0,0,0,0,0
zhandong_road2,216,0,1,0,1,2
zhandong_road2,246,0,0,0,0,0
zhandong_road2,276,0,0,0,1,1
zhandong_road2,306,0,1,0,0,1
zhandong_road2,336,1,0,0,0,1
zhandong_road2,366,0,0,0,0,0
zhandong_road2,396,1,0,0,1,2
zhandong_road2,426,0,1,0,0,1
zhandong_road2,456,0,0,0,0,0
zhandong_road2,486,1,0,1,0,2
zhandong_road2,516,0,1,0,0,1
zhandong_road2,546,0,0,0,0,0
zhandong_road2,576,0,0,0,1,1
zhandong_road2,606,0,1,0,0,1
zhandong_road2,636,0,0,0,0,0
zhandong_road2,666,0,0,0,0,0
zhandong_road2,696,0,0,3,0,3
zhandong_road2,726,0,0,0,0,0
zhandong_road2,756,0,0,0,0,0
zhandong_road2,786,0,1,1,2,4
zhandong_road2,816,0,0,0,0,0
zhandong_road2,846,0,0,0,0,0
zhandong_road2,876,0,1,0,0,1
zhandong_road2,906,0,0,1,0,1
zhandong_road2,936,0,0,0,1,1
zhandong_road2,966,0,1,0,0,1
zhandong_road2,996,0,0,0,1,1
zhandong_road2,1026,0,0,0,0,0
zhandong_road2,1056,0,0,1,0,1
zhandong_road2,1086,0,0,0,0,0
zhandong_road2,1116,0,0,1,0,1
zhandong_road2,1146,0,0,0,0,0
zhandong_road2,1176,0,0,0,0,0
zhandong_road2,1206,0,0,0,1,1
zhandong_road2,1236,0,1,0,0,1
zhandong_road2,1266,0,0,0,0,0
zhandong_road2,1296,0,0,2,0,2
zhandong_road2,1326,0,0,0,1,1
zhandong_road2,1356,0,0,0,0,0
zhandong_road2,1386,0,0,0,0,0
zhandong_road2,1416,0,0,1,1,2
zhandong_road2,1446,0,0,0,0,0
zhandong_road2,1476,0,0,0,1,1
zhandong_road2,1506,0,1,1,0,2
zhandong_road2,1536,0,0,0,0,0
zhandong_road2,1566,0,0,1,0,1
zhandong_road2,1596,0,0,0,0,0
zhandong_road2,1626,0,1,1,1,3
zhandong_road2,1656,0,0,0,0,0
zhandong_road2,1686,0,1,0,0,1
zhandong_road2,1716,0,0,0,0,0
zhandong_road2,1746,0,0,0,0,0
zhandong_road2,1776,0,0,0,0,0
zhandong_road2,1806,0,1,1,0,2
zhandong_road2,1836,0,0,0,0,0
zhandong_road2,1866,0,0,0,0,0
zhandong_road2,1896,0,1,0,0,1
zhandong_road2,1926,0,0,0,0,0
zhandong_road2,1956,0,1,0,1,2
zhandong_road2,1986,0,0,0,0,0
zhandong_road2,2016,0,0,0,0,0
zhandong_road2,2046,0,0,0,0,0
zhandong_road2,2076,0,0,0,1,1
zhandong_road2,2106,0,1,1,0,2
zhandong_road2,2136,0,0,0,0,0
zhandong_road2,2166,0,0,0,0,0
zhandong_road2,2196,0,0,0,1,1
zhandong_road2,2226,0,0,0,0,0
zhandong_road2,2256,0,0,0,1,1
zhandong_road2,2286,0,0,1,0,1
zhandong_road2,2316,0,0,1,0,1
zhandong_road2,2346,0,0,0,0,0
zhandong_road2,2376,0,0,0,0,0
zhandong_road2,2406,0,1,1,0,2
zhandong_road2,2436,0,0,0,1,1
zhandong_road2,2466,0,0,0,0,0
zhandong_road2,2496,0,1,0,0,1
zhandong_road2,2526,1,0,1,0,2
zhandong_road2,2556,0,0,1,1,2
zhandong_road2,2586,0,0,0,0,0
zhandong_road2,2616,0,1,1,0,2
zhandong_road2,2646,0,0,0,2,2
zhandong_road2,2676,0,0,0,0,0
zhandong_road2,2706,0,0,0,1,1
zhandong_road2,2736,0,0,0,0,0
zhandong_road2,2766,0,0,0,0,0
zhandong_road2,2796,0,0,0,2,2
zhandong_road2,2826,0,0,1,0,1
zhandong_road2,2856,0,0,0,0,0
zhandong_road2,2886,0,0,2,0,2
zhandong_road2,2916,0,0,0,0,0
zhandong_road2,2946,0,0,0,0,0
zhandong_road2,2976,0,1,0,0,1
zhandong_road2,3006,1,0,0,0,1
zhandong_road2,3036,0,1,1,0,2
zhandong_road2,3066,0,0,0,0,0
zhandong_road2,3096,0,0,0,0,0
zhandong_road2,3126,1,1,0,0,2
zhandong_road2,3156,0,0,0,1,1
zhandong_road2,3186,0,0,0,0,0
zhandong_road2,3216,0,0,0,0,0
zhandong_road2,3246,0,0,0,0,0
zhandong_road2,3276,0,0,0,0,0
zhandong_road2,3306,0,0,0,0,0
zhandong_road2,3336,0,0,0,0,0
zhandong_road2,3366,1,0,0,0,1
zhandong_road2,3396,0,0,0,0,0
zhandong_road2,3426,2,0,0,0,2
zhandong_road2,3456,0,0,1,0,1
zhandong_road2,3486,0,1,0,0,1
zhandong_road2,3516,2,2,0,0,4
zhandong_road2,3546,0,1,0,0,1
zhandong_road2,3576,0,2,0,0,2
zhandong_road2,3606,0,0,1,0,1
zhandong_road2,3636,0,0,0,0,0
zhandong_road2,3666,0,0,0,0,0
zhandong_road2,3696,0,1,0,0,1
zhandong_road2,3726,0,3,0,0,3
zhandong_road2,3756,2,0,0,0,2
zhandong_road2,3786,0,1,0,0,1
zhandong_road2,3816,0,0,0,0,0
zhandong_road2,3846,0,0,0,0,0
zhandong_road2,3876,1,0,0,0,1
zhandong_road2,3906,0,0,0,0,0
zhandong_road2,3936,1,0,0,0,1
zhandong_road2,3966,0,1,0,0,1
zhandong_road2,3996,2,0,1,0,3
zhandong_road2,4026,0,0,0,0,0
zhandong_road2,4056,0,0,0,0,0
zhandong_road2,4086,0,0,0,0,0
zhandong_road2,4116,1,0,0,0,1
zhandong_road2,4146,0,1,1,0,2
zhandong_road2,4176,0,0,0,0,0
zhandong_road2,4206,0,0,0,0,0
zhandong_road2,4236,0,1,1,0,2
zhandong_road2,4266,0,0,0,0,0
zhandong_road2,4296,0,0,0,0,0
zhandong_road2,4326,1,1,0,0,2
zhandong_road2,4356,0,0,0,0,0
zhandong_road2,4386,0,0,0,0,0
zhandong_road2,4416,2,2,0,0,4
zhandong_road2,4446,0,0,0,0,0
zhandong_road2,4476,0,0,0,0,0
zhandong_road2,4506,0,0,0,0,0
zhandong_road2,4536,0,2,0,0,2
zhandong_road2,4566,1,0,0,0,1
zhandong_road2,4596,1,1,0,0,2
zhandong_road2,4626,0,0,0,0,0
zhandong_road2,4656,0,0,0,0,0
zhandong_road2,4686,0,0,0,0,0
zhandong_road2,4716,0,0,0,0,0
zhandong_road2,4746,0,0,0,0,0
zhandong_road2,4776,0,1,0,0,1
zhandong_road2,4806,1,0,0,0,1
zhandong_road2,4836,1,0,0,0,1
zhandong_road2,4866,2,0,0,0,2
zhandong_road2,4896,0,0,0,0,0
zhandong_road2,4926,0,2,0,0,2
zhandong_road2,4956,0,0,0,0,0
zhandong_road2,4986,0,1,0,0,1
zhandong_road2,5016,0,0,1,0,1
zhandong_road2,5046,0,0,0,0,0
zhandong_road2,5076,1,0,0,0,1
zhandong_road2,5106,0,0,0,0,0
zhandong_road2,5136,0,2,0,0,2
zhandong_road2,5166,1,0,0,0,1
zhandong_road2,5196,1,0,0,0,1
zhandong_road2,5226,0,0,0,0,0
zhandong_road2,5256,0,0,1,0,1
zhandong_road2,5286,0,1,0,0,1
zhandong_road2,5316,1,0,0,0,1
zhandong_road2,5346,0,0,0,0,0
zhandong_road2,5376,0,0,0,0,0
zhandong_road2,5406,1,0,0,0,1
zhandong_road2,5436,0,0,1,0,1
zhandong_road2,5466,0,0,0,0,0
zhandong_road2,5496,1,0,0,0,1
zhandong_road2,5526,0,0,1,0,1
zhandong_road2,5556,1,0,0,0,1
zhandong_road2,5586,0,0,0,1,1
zhandong_road2,5616,0,1,2,0,3
zhandong_road2,5646,0,0,0,0,0
zhandong_road2,5676,0,0,0,0,0
zhandong_road2,5706,0,0,1,0,1
zhandong_road2,5736,0,0,1,1,2
zhandong_road2,5766,0,0,0,0,0
zhandong_road2,5796,0,1,0,0,1
zhandong_road2,5826,0,0,0,0,0
zhandong_road2,5856,0,0,2,0,2
zhandong_road2,5886,0,1,0,0,1
zhandong_road2,5916,0,0,1,0,1
zhandong_road2,5946,0,0,0,0,0
zhandong_road2,5976,0,0,0,0,0
zhandong_road2,6006,0,1,0,0,1
zhandong_road2,6036,0,0,0,0,0
zhandong_road2,6066,0,1,0,0,1
zhandong_road2,6096,0,0,0,0,0
zhandong_road2,6126,0,0,0,0,0
zhandong_road2,6156,0,0,0,1,1
zhandong_road2,6186,0,0,0,0,0
zhandong_road2,6216,0,0,1,0,1
zhandong_road2,6246,0,1,1,0,2
zhandong_road2,6276,0,0,0,0,0
zhandong_road2,6306,0,0,0,0,0
zhandong_road2,6336,0,0,0,0,0
zhandong_road2,6366,0,0,1,0,1
zhandong_road2,6396,0,0,0,1,1
zhandong_road2,6426,0,1,1,0,2
zhandong_road2,6456,0,0,0,1,1
zhandong_road2,6486,0,0,1,0,1
zhandong_road2,6516,0,0,0,1,1
zhandong_road2,6546,0,0,0,0,0
zhandong_road2,6576,0,1,0,0,1
zhandong_road2,6606,0,0,0,0,0
zhandong_road2,6636,0,0,0,1,1
zhandong_road2,6666,0,0,2,0,2
zhandong_road2,6696,0,0,0,0,0
zhandong_road2,6726,0,1,0,0,1
zhandong_road2,6756,0,0,0,1,1
zhandong_road2,6786,0,0,0,0,0
zhandong_road2,6816,0,0,1,0,1
zhandong_road2,6846,0,1,0,0,1
zhandong_road2,6876,0,0,1,1,2
zhandong_road2,6906,0,0,1,1,2
zhandong_road2,6936,0,0,0,0,0
zhandong_road2,6966,0,0,0,1,1
zhandong_road2,6996,0,1,0,0,1
zhandong_road2,7026,0,0,1,0,1
zhandong_road2,7056,0,0,0,1,1
zhandong_road2,7086,0,1,1,0,2
zhandong_road2,7116,0,0,1,0,1
zhandong_road2,7146,0,0,0,0,0
zhandong_road2,7176,0,0,0,1,1
zhandong_road2,7206,0,0,0,0,0
zhandong_road2,7236,0,1,1,0,2
zhandong_road2,7266,0,0,0,0,0
zhandong_road2,7296,0,0,0,0,0
zhandong_road2,7326,0,0,0,0,0
zhandong_road2,7356,0,0,1,1,2
zhandong_road2,7386,0,0,0,0,0
zhandong_road2,7416,0,0,0,0,0
zhandong_road2,7446,0,0,0,0,0
zhandong_road2,7476,0,0,0,1,1
zhandong_road2,7506,0,0,1,0,1
zhandong_road2,7536,0,0,0,0,0
zhandong_road2,7566,0,0,1,2,3
zhandong_road2,7596,0,0,0,0,0
zhandong_road2,7626,0,0,0,0,0
zhandong_road2,7656,0,0,2,1,3
zhandong_road2,7686,0,0,0,0,0
