source_id,series,model,predicted_1h_total_crossings,avg_per_10s_bin,first_10min_total,last_10min_total,observed_total_crossings,observed_avg_per_10s_bin,observed_bins
zhandong_road1,west_in,"ARIMA(1, 0, 1)",613.5,1.704,101.1,102.5,144,1.714,84
zhandong_road1,east_in,"ARIMA(1, 0, 1)",866.0,2.405,141.9,144.8,201,2.393,84
zhandong_road1,north_in,"ARIMA(1, 0, 1)",738.7,2.052,122.6,123.2,175,2.083,84
zhandong_road1,south_in,"ARIMA(1, 0, 1)",436.6,1.213,71.0,73.1,115,1.369,84
zhandong_road1,total_flow,"ARIMA(1, 0, 1)",2682.4,7.451,444.5,447.6,635,7.56,84
zhandong_road2,west_in,"ARIMA(1, 0, 1)",409.6,1.138,67.0,68.5,58,1.318,44
zhandong_road2,east_in,"ARIMA(1, 0, 1)",815.2,2.264,135.5,135.9,101,2.295,44
zhandong_road2,north_in,"ARIMA(1, 0, 1)",839.6,2.332,139.6,140.0,103,2.341,44
zhandong_road2,south_in,"ARIMA(1, 0, 1)",500.9,1.391,82.1,83.8,66,1.5,44
zhandong_road2,total_flow,"ARIMA(1, 0, 1)",2649.7,7.36,441.5,441.6,328,7.455,44
